"actor","service","method","service_path","gateway_path","auth","request_dto","response_dto","success_code","http_status","note"
"BUYER","user-service","GET","/api/v1/users/buyers/login-id/availability","/user-service/api/v1/users/buyers/login-id/availability?loginId={loginId}","PermitAll","QueryParam(loginId)","ApiResponse<LoginIdAvailabilityResponse>","USER_200_001","200","구매자 로그인 ID 중복확인"
"BUYER","user-service","POST","/api/v1/users/buyers/email-code/send","/user-service/api/v1/users/buyers/email-code/send","PermitAll","EmailCodeSendRequest","ApiResponse<Void>","USER_200_002","200","구매자 이메일 인증코드 발송"
"BUYER","user-service","POST","/api/v1/users/buyers/email-code/verify","/user-service/api/v1/users/buyers/email-code/verify","PermitAll","EmailCodeVerifyRequest","ApiResponse<Void>","USER_200_003","200","구매자 이메일 인증코드 검증"
"BUYER","user-service","POST","/api/v1/users/buyers/signup","/user-service/api/v1/users/buyers/signup","PermitAll","BuyerSignupRequest","ApiResponse<Void>","USER_201_001","201","구매자 회원가입"
"SELLER","user-service","GET","/api/v1/users/sellers/login-id/availability","/user-service/api/v1/users/sellers/login-id/availability?loginId={loginId}","PermitAll","QueryParam(loginId)","ApiResponse<LoginIdAvailabilityResponse>","USER_200_011","200","판매자 로그인 ID 중복확인"
"SELLER","user-service","POST","/api/v1/users/sellers/email-code/send","/user-service/api/v1/users/sellers/email-code/send","PermitAll","EmailCodeSendRequest","ApiResponse<Void>","USER_200_012","200","판매자 이메일 인증코드 발송"
"SELLER","user-service","POST","/api/v1/users/sellers/email-code/verify","/user-service/api/v1/users/sellers/email-code/verify","PermitAll","EmailCodeVerifyRequest","ApiResponse<Void>","USER_200_013","200","판매자 이메일 인증코드 검증"
"SELLER","user-service","POST","/api/v1/users/sellers/signup","/user-service/api/v1/users/sellers/signup","PermitAll","SellerSignupRequest","ApiResponse<Void>","USER_201_011","201","판매자 회원가입"
"BUYER","auth-service","POST","/api/v1/auth/buyers/login","/auth-service/api/v1/auth/buyers/login","PermitAll","LoginRequest","AuthTokenResponse","-","200","accessToken은 body 반환 + refreshToken은 buyer_refresh_token 쿠키"
"BUYER","auth-service","POST","/api/v1/auth/buyers/refresh","/auth-service/api/v1/auth/buyers/refresh","PermitAll","Body없음(쿠키 refresh)","AuthTokenResponse","-","200","refresh 쿠키로 accessToken 재발급 + refresh 교체"
"BUYER","auth-service","POST","/api/v1/auth/buyers/logout","/auth-service/api/v1/auth/buyers/logout","PermitAll","Body없음(쿠키 refresh)","Empty(200)","-","200","refresh 쿠키 무효화"
"SELLER","auth-service","POST","/api/v1/auth/sellers/login","/auth-service/api/v1/auth/sellers/login","PermitAll","LoginRequest","AuthTokenResponse","-","200","accessToken은 body 반환 + refreshToken은 seller_refresh_token 쿠키"
"SELLER","auth-service","POST","/api/v1/auth/sellers/refresh","/auth-service/api/v1/auth/sellers/refresh","PermitAll","Body없음(쿠키 refresh)","AuthTokenResponse","-","200","refresh 쿠키로 accessToken 재발급 + refresh 교체"
"SELLER","auth-service","POST","/api/v1/auth/sellers/logout","/auth-service/api/v1/auth/sellers/logout","PermitAll","Body없음(쿠키 refresh)","Empty(200)","-","200","refresh 쿠키 무효화"
"BUYER","product-service","GET","/api/v1/buyer/products","/product-service/api/v1/buyer/products?category=&keyword=&sort=&limit=","PermitAll","QueryParam(category|keyword|sort|limit)","ApiResponse<List<BuyerProductListResponse>>","PRODUCT_200_005","200","구매자 상품목록 조회"
